,codigo_municipio,Total
427,1718899,9
428,1718907,13.8
429,1719004,11.3
430,1720002,8.9
431,1720101,13.6
432,1720150,13.1
433,1720200,18.7
434,1720259,13.3
435,1720309,11.7
436,1720499,6.5
437,1720655,9.9
438,1720804,11.5
439,1720853,13.8
440,1720903,18
441,1720937,21.6
442,1720978,7.1
443,1721000,4.7
444,1721109,27.4
445,1721208,17.7
446,1721257,2.7
447,1721307,13.4
448,1722081,12
449,1722107,11
450,2100055,11.7
451,2100105,20.6
452,2100154,14.3
453,2100204,16.7
454,2100303,24.6
455,2100402,25.9
456,2100436,12.4
457,2100477,4.7
458,2100501,14.9
459,2100550,18.6
460,2100600,30.6
461,2100709,18.5
462,2100808,22.4
463,2100832,13.3
464,2100873,12.6
465,2100907,22.3
466,2100956,28.9
467,2101004,8.3
468,2101103,14.2
469,2101202,10.6
470,2101251,10.7
471,2101301,9.3
472,2101350,13.3
473,2101400,16.2
474,2101509,9.9
475,2101608,25.1
476,2101707,11.8
477,2101731,16.1
478,2101772,17.4
479,2101806,21.9
480,2101905,11.8
481,2101939,15.5
482,2101970,20.3
483,2102002,22.8
484,2102036,12.8
485,2102077,13.5
486,2102101,20.5
487,2102150,13.5
488,2102200,13.4
489,2102309,8.1
490,2102325,12.8
491,2102358,25
492,2102374,17.8
493,2102408,13.7
494,2102507,27
495,2102556,9.2
496,2102606,16
497,2102705,22.7
498,2102754,14.5
499,2102804,21.1
500,2102903,16.8
501,2103000,14.9
502,2103109,12.4
503,2103125,14.8
504,2103158,18.4
505,2103174,22.3
506,2103208,12.6
507,2103257,16
508,2103307,16.8
509,2103406,18.9
510,2103505,8.5
511,2103554,24.4
512,2103604,8
513,2103703,11.9
514,2103752,24.8
515,2103802,11.8
516,2103901,19.6
517,2104008,14.7
518,2104057,17.5
519,2104073,20.2
520,2104081,36.1
521,2104099,9
522,2104107,13.2
523,2104206,13.3
524,2104305,18.9
525,2104404,12.3
526,2104503,13
527,2104552,25.8
528,2104602,20.2
529,2104628,21.9
530,2104651,31
531,2104677,20
532,2104701,19.9
533,2104800,22.2
534,2104909,16.2
535,2105005,16.6
536,2105104,18
537,2105153,21.8
538,2105203,13.2
539,2105302,13.5
540,2105351,19.8
541,2105401,12.8
542,2105427,14.3
543,2105450,17.2
544,2105476,40.1
545,2105500,13.6
546,2105609,14.3
547,2105658,12.4
548,2105708,11.5
549,2105807,10.9
550,2105906,19.9
551,2105922,2.6
552,2105948,4.5
553,2105963,16
554,2105989,14.3
555,2106003,12.1
556,2106102,12.4
557,2106201,15.9
558,2106300,13.9
559,2106326,19.6
560,2106359,22.1
561,2106375,23.1
562,2106409,14.2
563,2106508,11.7
564,2106607,16.9
565,2106631,21.1
566,2106672,11.6
567,2106706,14.8
568,2106755,9.4
569,2106805,15.9
570,2106904,26.4
571,2107001,29.7
572,2107100,20.8
573,2107209,10.4
574,2107258,20.4
575,2107308,18.2
576,2107357,17.4
577,2107407,24.7
578,2107456,15.8
579,2107506,11.7
580,2107605,13.6
581,2107704,22.2
582,2107803,20.5
583,2107902,12.9
584,2108009,7.8
585,2108058,13.9
586,2108108,17.4
587,2108207,13.3
588,2108256,14.2
589,2108306,14
590,2108405,11.1
591,2108454,15
592,2108504,17.3
593,2108603,8.8
594,2108702,23.9
595,2108801,15
596,2108900,15.8
597,2109007,8.8
598,2109056,12.3
599,2109106,14.4
600,2109205,15.5
601,2109239,18.6
602,2109270,12.2
603,2109304,16.5
604,2109403,18.6
605,2109452,13
606,2109502,16.5
607,2109551,20.8
608,2109601,8.5
609,2109700,12.5
610,2109759,21.1
611,2109809,26.8
612,2109908,13.7
613,2110005,12.4
614,2110039,14.9
615,2110104,18.3
616,2110203,7.3
617,2110237,18.3
618,2110278,20.6
619,2110302,12.5
620,2110401,12.1
621,2110500,13.9
622,2110609,12.3
623,2110658,19
624,2110708,9.3
625,2110807,29.4
626,2110856,17.8
627,2110906,15.5
628,2111003,22
629,2111029,17.3
630,2111052,12.3
631,2111078,16.8
632,2111102,11.2
633,2111201,10.2
634,2111250,20.2
635,2111300,14.5
636,2111409,19.7
637,2111508,10.6
638,2111532,12.9
639,2111573,16.7
640,2111607,10.3
641,2111631,24.8
642,2111672,27.4
643,2111706,12.5
644,2111722,30.2
645,2111748,16.3
646,2111763,17.4
647,2111789,14.1
648,2111805,12.1
649,2111904,13.3
650,2111953,18
651,2112001,18.4
652,2112100,17.7
653,2112209,8.5
654,2112233,8.3
655,2112274,18.1
656,2112308,15.8
657,2112407,12.5
658,2112456,21.5
659,2112506,17.1
660,2112605,16.8
661,2112704,8.3
662,2112803,12.6
663,2112852,15.3
664,2112902,11.5
665,2113009,14.1
666,2114007,16.3
667,2200053,10.2
668,2200103,14.2
669,2200202,5.9
670,2200251,10.3
671,2200277,8.6
672,2200301,10.1
673,2200400,9.5
674,2200459,21.9
675,2200509,13.9
676,2200608,9.9
677,2200707,13.4
678,2200806,4.8
679,2200905,16.4
680,2200954,13.6
681,2201002,16
682,2201051,17.3
683,2201101,21.1
684,2201150,10.8
685,2201176,13
686,2201200,11.8
687,2201309,45.1
688,2201408,14.8
689,2201507,24
690,2201556,10.9
691,2201572,0.2
692,2201606,12.9
693,2201705,26.6
694,2201739,19.2
695,2201770,19.5
696,2201804,10.8
697,2201903,12.1
698,2201919,23.5
699,2201929,15.7
700,2201945,16
701,2201960,9.3
702,2201988,22.4
703,2202000,17
704,2202026,3.3
705,2202059,4.7
706,2202075,13.1
707,2202083,18.8
708,2202091,3.8
709,2202109,20.1
710,2202117,32.8
711,2202133,4.1
712,2202174,19.2
713,2202208,8.5
714,2202251,19.5
715,2202307,20
716,2202406,12.4
717,2202455,17.7
718,2202505,43.4
719,2202539,18.5
720,2202554,13.4
721,2202604,8.5
722,2202653,21.4
723,2202703,17.3
724,2202711,14.3
725,2202729,6.5
726,2202737,14.8
727,2202752,17.9
728,2202778,4.6
729,2202802,14.3
730,2202851,12.5
731,2202901,20.5
732,2203008,21.1
733,2203107,29.3
734,2203206,12.4
735,2203230,28.4
736,2203255,16.9
737,2203271,15.2
738,2203305,8.1
739,2203354,30.8
740,2203404,8.4
741,2203420,5.5
742,2203453,11.8
743,2203503,18.8
744,2203602,20.3
745,2203701,17
746,2203750,25.8
747,2203800,23.1
748,2203859,11
749,2203909,15.1
750,2204006,11.4
751,2204105,19.2
752,2204154,11.4
753,2204204,15.2
754,2204303,10
755,2204352,15.4
756,2204402,37.2
757,2204501,13.8
758,2204550,23.2
759,2204600,8.7
760,2204659,27
761,2204709,6.6
762,2204808,7.1
763,2204907,12.3
764,2205003,10.6
765,2205102,19.1
766,2205151,18.2
767,2205201,12.2
768,2205250,22.3
769,2205276,9.9
770,2205300,33
771,2205359,15.4
772,2205409,14.8
773,2205458,20
774,2205508,15.7
775,2205516,16.3
776,2205524,16.4
777,2205532,32.6
778,2205540,15.1
779,2205557,10.4
780,2205565,15.5
781,2205573,16.9
782,2205581,29.9
783,2205599,13.7
784,2205607,12.7
785,2205706,28.5
786,2205805,26.5
787,2205854,6.6
788,2205904,17.9
789,2205953,11.6
790,2206001,14.7
791,2206050,25.2
792,2206100,18.2
793,2206209,26.5
794,2206308,10.7
795,2206357,24.3
796,2206407,18.3
797,2206506,13.4
798,2206605,19.5
799,2206654,18.7
800,2206670,20
801,2206696,29.2
802,2206704,15.4
803,2206720,14.3
804,2206753,15.7
805,2206803,28.7
806,2206902,26.3
807,2206951,16.4
808,2207009,6.5
809,2207108,7.4
810,2207207,0.2
811,2207306,21.7
812,2207355,2.6
813,2207405,28.3
814,2207504,22.6
815,2207553,30.4
816,2207603,28.4
817,2207702,25.2
818,2207751,21.4
819,2207777,14.1
820,2207793,23.7
821,2207801,18.4
822,2207850,21.5
823,2207900,16.7
824,2207934,16.6
825,2207959,15
826,2208007,17
827,2208106,18.7
828,2208205,6.5
829,2208304,5.7
830,2208403,12.6
831,2208502,14.7
832,2208551,12.8
833,2208601,18.4
834,2208650,15.2
835,2208700,25.5
836,2208809,15.7
837,2208858,25.9
838,2208874,12.2
839,2208908,9.8
840,2209005,23.1
841,2209104,10.7
842,2209153,12.3
843,2209203,16.6
844,2209302,21.5
845,2209351,8.9
846,2209377,9.4
847,2209401,18.9
848,2209450,13.4
849,2209500,9.7
850,2209559,13.7
851,2209609,12.6
852,2209658,21.4
853,2209708,13.9
854,2209757,22.7
855,2209807,14.2
856,2209856,9
857,2209872,13.6
858,2209906,8.8
859,2209955,17.8
860,2209971,8.7
861,2210003,13.2
862,2210052,4.4
863,2210102,15.5
864,2210201,13.9
865,2210300,14.4
866,2210359,13.7
867,2210375,7.9
868,2210383,18.2
869,2210391,25.2
870,2210409,1.2
871,2210508,13
872,2210607,11.5
873,2210623,33.5
874,2210631,18.9
875,2210656,10.6
876,2210706,8.5
877,2210805,6.1
878,2210904,16.1
879,2210938,23.4
880,2210953,15.9
881,2210979,19.2
882,2211001,9.1
883,2211100,18.7
884,2211209,18.8
885,2211308,17.6
886,2211357,26.2
887,2211407,11.2
888,2211506,21.5
889,2211605,9.4
890,2211704,17.1
891,2300101,3.2
892,2300150,3.4
893,2300200,3.1
894,2300309,2.4
895,2300408,4.6
896,2300507,2.7
897,2300606,0.4
898,2300705,2.9
899,2300754,8
900,2300804,4.1
901,2300903,4.5
902,2301000,6.1
903,2301109,4.5
904,2301208,2.9
905,2301257,5.8
906,2301307,9
907,2301406,2.7
908,2301505,4.8
909,2301604,4.7
910,2301703,10.6
911,2301802,4.3
912,2301851,8.7
913,2301901,3.8
914,2301950,4
915,2302008,8.3
916,2302057,3.1
917,2302107,9.6
918,2302206,9
919,2302305,2.5
920,2302404,12
921,2302503,4.5
922,2302602,2.3
923,2302701,5.4
924,2302800,9.6
925,2302909,4.1
926,2303006,7.8
927,2303105,1
928,2303204,3.7
929,2303303,3.4
930,2303402,5
931,2303501,3
932,2303600,2.1
933,2303659,1.7
934,2303709,11.4
935,2303808,5.8
936,2303907,8.5
937,2303931,4.8
938,2303956,6.7
939,2304004,1.2
940,2304103,4.4
941,2304202,5
942,2304236,5.5
943,2304251,2.2
944,2304269,1.9
945,2304277,3.6
946,2304285,1.4
947,2304301,1.8
948,2304350,0.5
949,2304400,9.6
950,2304459,4.4
951,2304509,3.8
952,2304608,4.3
953,2304657,4.9
954,2304707,3.9
955,2304806,6.1
956,2304905,1.7
957,2304954,8.1
958,2305001,4
959,2305100,3.2
960,2305209,3.4
961,2305233,4.2
962,2305266,8.4
963,2305308,5.2
